ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CIN80001;Cinema '80;Quale film del 1982 è ambientato in una Los Angeles futuristica e diretto da Ridley Scott?;4 risposte;A) Blade Runner, B) Ritorno al futuro, ###C) Blade Runner, D) The Thing;⭐⭐⭐;16/01/2026
CIN80002;Cinema '80;Chi ha diretto "Ritorno al futuro" (1985)?;4 risposte;A) Robert Zemeckis, ###B) Robert Zemeckis, C) Steven Spielberg, D) John Hughes;⭐⭐;16/01/2026
CIN80003;Cinema '80;"E.T. l'extra-terrestre" è un film diretto da Steven Spielberg.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN80004;Cinema '80;Quale attore interpreta Marty McFly in "Ritorno al futuro"?;4 risposte;A) Michael J. Fox, B) Tom Cruise, C) Matthew Broderick, ###D) Michael J. Fox;⭐⭐;16/01/2026
CIN80005;Cinema '80;Scrivi il nome del regista di "Blade Runner".;Risposta aperta;###Ridley Scott;⭐⭐⭐;16/01/2026
CIN80006;Cinema '80;Quale film del 1986 ha come protagonista un pilota della Marina e divenne un cult per le scene d'azione aeree?;4 risposte;A) Top Gun, ###B) Top Gun, C) The Right Stuff, D) Iron Eagle;⭐⭐;16/01/2026
CIN80007;Cinema '80;Il film "Full Metal Jacket" (1987) è diretto da Stanley Kubrick.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80008;Cinema '80;Quale film del 1984 ha introdotto il personaggio di Sarah Connor?;4 risposte;A) Terminator, B) Aliens, ###C) Terminator, D) Robocop;⭐⭐;16/01/2026
CIN80009;Cinema '80;Chi ha diretto "The Shining" (1980)?;4 risposte;A) Alfred Hitchcock, ###B) Stanley Kubrick, C) John Carpenter, D) David Lynch;⭐⭐⭐;16/01/2026
CIN80010;Cinema '80;Scrivi il nome dell'attore che interpreta il protagonista in "The Shining".;Risposta aperta;###Jack Nicholson;⭐⭐;16/01/2026
CIN80011;Cinema '80;La pellicola "Guerre stellari: L'Impero colpisce ancora" è uscita nel 1980.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN80012;Cinema '80;Quale film del 1981 ha come protagonista un archeologo-avventuriero interpretato da Harrison Ford?;4 risposte;A) I predatori dell'arca perduta, B) Indiana Jones e il tempio maledetto, ###C) I predatori dell'arca perduta, D) Indiana Jones e l'ultima crociata;⭐⭐;16/01/2026
CIN80013;Cinema '80;Scrivi il nome del regista di "I predatori dell'arca perduta".;Risposta aperta;###Steven Spielberg;⭐⭐⭐;16/01/2026
CIN80014;Cinema '80;Quale film del 1985 racconta le avventure di un gruppo di ragazzi alla ricerca di un tesoro?;4 risposte;A) Stand by Me, B) The Goonies, ###C) I Goonies, D) The Lost Boys;⭐⭐;16/01/2026
CIN80015;Cinema '80;La colonna sonora di "Lo squalo" è stata composta da John Williams.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN80016;Cinema '80;Chi ha diretto "Blade Runner" (1982)?;4 risposte;A) Ridley Scott, B) James Cameron, ###C) Ridley Scott, D) Terry Gilliam;⭐⭐;16/01/2026
CIN80017;Cinema '80;Quale film del 1987 è ambientato durante la guerra in Vietnam e diretto da Oliver Stone?;4 risposte;A) Platoon, ###B) Platoon, C) Full Metal Jacket, D) Born on the Fourth of July;⭐⭐⭐;16/01/2026
CIN80018;Cinema '80;Scrivi il nome dell'attore protagonista in "Top Gun".;Risposta aperta;###Tom Cruise;⭐⭐;16/01/2026
CIN80019;Cinema '80;La pellicola "Aliens - Scontro finale" (1986) è il seguito di "Alien".;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80020;Cinema '80;Quale film del 1984 ha come protagonista un cyborg poliziotto in una Detroit futuristica?;4 risposte;A) Robocop, B) The Terminator, ###C) Robocop, D) Blade Runner;⭐⭐;16/01/2026
CIN80021;Cinema '80;Scrivi il nome del regista di "The Terminator".;Risposta aperta;###James Cameron;⭐⭐⭐;16/01/2026
CIN80022;Cinema '80;Quale film del 1980 è tratto da un romanzo di Stephen King e diretto da Stanley Kubrick?;4 risposte;A) L'esorcista, B) Carrie, ###C) Shining, D) The Dead Zone;⭐⭐;16/01/2026
CIN80023;Cinema '80;La pellicola "Scarface" con Al Pacino è del 1983.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80024;Cinema '80;Quale film del 1986 è un adattamento del romanzo di Stephen King su un uomo che diventa un mostro?;4 risposte;A) The Fly, B) Stand by Me, C) The Thing, ###D) The Fly;⭐⭐;16/01/2026
CIN80025;Cinema '80;Scrivi il nome del regista di "Ritorno al futuro".;Risposta aperta;###Robert Zemeckis;⭐⭐;16/01/2026
CIN80026;Cinema '80;Quale film del 1985 è diretto da Robert Zemeckis e vede un adolescente viaggiare nel tempo?;4 risposte;A) Back to the Future Part II, ###B) Ritorno al futuro, C) The Terminator, D) The Goonies;⭐⭐;16/01/2026
CIN80027;Cinema '80;La pellicola "Il ritorno del re" è degli anni '80.;Vero/Falso;Vero, ###Falso;⭐⭐;16/01/2026
CIN80028;Cinema '80;Quale film del 1984 ha come protagonista un giovane apprendista di karate che affronta un bullo?;4 risposte;A) The Karate Kid, ###B) Karate Kid, C) Rocky, D) Bloodsport;⭐⭐;16/01/2026
CIN80029;Cinema '80;Scrivi il nome dell'attore che interpreta John Rambo nella serie iniziata negli anni '80.;Risposta aperta;###Sylvester Stallone;⭐⭐;16/01/2026
CIN80030;Cinema '80;Quale film del 1982 è un horror fantascientifico diretto da John Carpenter e ambientato in Antartide?;4 risposte;A) The Thing, ###B) The Thing, C) The Fly, D) Poltergeist;⭐⭐⭐;16/01/2026
CIN80031;Cinema '80;La pellicola "La storia infinita" è uscita negli anni '80.;Vero/Falso;###Vero, Falso;⭐;16/01/2026
CIN80032;Cinema '80;Quale film del 1988 è diretto da John McTiernan e ambientato in un grattacielo di Los Angeles?;4 risposte;A) Die Hard, B) Lethal Weapon, ###C) Die Hard, D) Predator;⭐⭐;16/01/2026
CIN80033;Cinema '80;Scrivi il nome del regista di "Blade Runner".;Risposta aperta;###Ridley Scott;⭐⭐;16/01/2026
CIN80034;Cinema '80;Quale film del 1989 conclude la trilogia di Indiana Jones iniziata negli anni '80?;4 risposte;A) Indiana Jones e il tempio maledetto, B) I predatori dell'arca perduta, ###C) Indiana Jones e l'ultima crociata, D) Indiana Jones e il regno del teschio di cristallo;⭐⭐;16/01/2026
CIN80035;Cinema '80;La pellicola "Platoon" (1986) è diretta da Oliver Stone.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80036;Cinema '80;Quale film del 1984 è diretto da David Lynch e presenta atmosfere oniriche?;4 risposte;A) Blue Velvet, B) The Elephant Man, ###C) Dune, D) Blue Velvet;⭐⭐⭐;16/01/2026
CIN80037;Cinema '80;Scrivi il nome dell'attore che interpreta il protagonista in "Die Hard".;Risposta aperta;###Bruce Willis;⭐⭐;16/01/2026
CIN80038;Cinema '80;Quale film del 1987 è diretto da David Fincher?;4 risposte;A) Se7en, B) Fight Club, C) Zodiac, ###D) Nessuno (David Fincher debutta negli anni '90);⭐⭐;16/01/2026
CIN80039;Cinema '80;La pellicola "Cinema Paradiso" è uscita nel 1988 ed è diretta da Giuseppe Tornatore.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN80040;Cinema '80;Quale film del 1986 è tratto da un romanzo di Stephen King e diretto da David Cronenberg?;4 risposte;A) The Fly, ###B) La mosca, C) Stand by Me, D) Misery;⭐⭐;16/01/2026
CIN80041;Cinema '80;Scrivi il nome del regista di "Scarface" (1983).;Risposta aperta;###Brian De Palma;⭐⭐;16/01/2026
CIN80042;Cinema '80;Quale film del 1985 è diretto da Terry Gilliam e basato su un romanzo di Douglas Adams?;4 risposte;A) Brazil, B) The Adventures of Baron Munchausen, ###C) Nessuno (Gilliam non ha diretto un adattamento di Douglas Adams negli anni '80), D) Time Bandits;⭐⭐;16/01/2026
CIN80043;Cinema '80;La pellicola "La città incantata" è del 2001, non degli anni '80.;Vero/Falso;Vero, ###Falso;⭐⭐;16/01/2026
CIN80044;Cinema '80;Quale film del 1984 è diretto da John Carpenter e ha come protagonista Kurt Russell?;4 risposte;A) The Thing, ###B) The Thing, C) Escape from New York, D) Big Trouble in Little China;⭐⭐;16/01/2026
CIN80045;Cinema '80;Scrivi il nome dell'autore del romanzo da cui è tratto "Shining".;Risposta aperta;###Stephen King;⭐⭐;16/01/2026
CIN80046;Cinema '80;Quale film del 1980 è diretto da Martin Scorsese e racconta la vita di una donna che lascia il marito?;4 risposte;A) Taxi Driver, B) Alice non abita più qui, ###C) Alice non abita più qui, D) Raging Bull;⭐⭐;16/01/2026
