ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CIN90001;Cinema '90;Quale film del 1994 ha come protagonista un uomo che racconta la sua vita seduto su una panchina?;4 risposte;###A) Forrest Gump, B) Pulp Fiction, C) Il silenzio degli innocenti, D) Braveheart;⭐⭐;16/01/2026
CIN90002;Cinema '90;Chi ha diretto "Pulp Fiction" (1994)?;4 risposte;A) Steven Spielberg, ###B) Quentin Tarantino, C) Martin Scorsese, D) David Fincher;⭐⭐⭐;16/01/2026
CIN90003;Cinema '90;La pellicola "Il silenzio degli innocenti" ha vinto l'Oscar per il Miglior Film nel 1992.;Vero/Falso;Vero, ###Falso;⭐⭐;16/01/2026
CIN90004;Cinema '90;Quale film del 1999 è noto per la frase "What we do in life echoes in eternity" nella versione italiana?;4 risposte;A) Fight Club, B) Matrix, ###C) Il gladiatore, D) American Beauty;⭐⭐⭐;16/01/2026
CIN90005;Cinema '90;Scrivi il nome del regista di "Il paziente inglese".;Risposta aperta;###Anthony Minghella;⭐⭐⭐;16/01/2026
CIN90006;Cinema '90;Quale film del 1997 racconta la storia di un transatlantico affondato?;4 risposte;A) Titanic, B) Il ponte delle spie, C) La sottile linea rossa, ###D) Titanic;⭐⭐;16/01/2026
CIN90007;Cinema '90;La pellicola "Trainspotting" (1996) è diretta da Danny Boyle.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN90008;Cinema '90;Chi ha diretto "Il paziente inglese" (1996)?;4 risposte;A) Ridley Scott, B) Steven Soderbergh, ###C) Anthony Minghella, D) Robert Altman;⭐⭐⭐;16/01/2026
CIN90009;Cinema '90;Quale film del 1993 è un adattamento del romanzo di Jane Austen "Ragione e sentimento"?;4 risposte;A) Ragione e sentimento, ###B) Ragione e sentimento, C) Emma, D) Orgoglio e pregiudizio;⭐⭐;16/01/2026
CIN90010;Cinema '90;Scrivi il nome dell'attore che interpreta il protagonista in "Forrest Gump".;Risposta aperta;###Tom Hanks;⭐⭐;16/01/2026
CIN90011;Cinema '90;La pellicola "Il paziente inglese" ha vinto l'Oscar per il Miglior Film nel 1997.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN90012;Cinema '90;Quale film del 1999 è famoso per la scena in cui il protagonista scopre che la sua realtà è simulata?;4 risposte;A) Fight Club, ###B) Matrix, C) American Beauty, D) The Sixth Sense;⭐⭐⭐;16/01/2026
CIN90013;Cinema '90;Scrivi il nome del regista di "Matrix".;Risposta aperta;###Lana e Lilly Wachowski;⭐⭐⭐;16/01/2026
CIN90014;Cinema '90;Quale film del 1995 è diretto da Mel Gibson e racconta la vendetta di un uomo contro i suoi nemici?;4 risposte;A) Braveheart, ###B) Braveheart, C) Il patriota, D) L'uomo senza volto;⭐⭐⭐;16/01/2026
CIN90015;Cinema '90;La pellicola "Il grande Lebowski" è uscita nel 1998.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN90016;Cinema '90;Chi ha diretto "Il grande Lebowski" (1998)?;4 risposte;A) Joel Coen, ###B) Joel e Ethan Coen, C) Martin Scorsese, D) David Lynch;⭐⭐;16/01/2026
CIN90017;Cinema '90;Quale film del 1994 è diretto da Robert Zemeckis e racconta la storia di un uomo che corre attraverso eventi storici?;4 risposte;A) Forrest Gump, B) Il miglio verde, C) Cast Away, ###D) Forrest Gump;⭐⭐;16/01/2026
CIN90018;Cinema '90;Scrivi il nome dell'attrice protagonista in "Il silenzio degli innocenti".;Risposta aperta;###Jodie Foster;⭐⭐;16/01/2026
CIN90019;Cinema '90;La pellicola "American Beauty" (1999) ha vinto l'Oscar per il Miglior Film.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN90020;Cinema '90;Quale film del 1990 è diretto da Martin Scorsese e racconta la storia di un pugile?;4 risposte;A) Toro scatenato, B) Raging Bull, ###C) Quei bravi ragazzi, D) Goodfellas;⭐⭐;16/01/2026
CIN90021;Cinema '90;Scrivi il nome del regista di "American Beauty".;Risposta aperta;###Sam Mendes;⭐⭐⭐;16/01/2026
CIN90022;Cinema '90;Quale film del 1997 è diretto da Paul Thomas Anderson e racconta la vita di una famiglia nella California degli anni '70?;4 risposte;A) Magnolia, ###B) Boogie Nights, C) Il petroliere, D) Magnolia;⭐⭐⭐;16/01/2026
CIN90023;Cinema '90;La pellicola "Il sesto senso" (1999) è famosa per un colpo di scena finale.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN90024;Cinema '90;Quale film del 1999 è diretto da M. Night Shyamalan e presenta un bambino che vede i morti?;4 risposte;A) The Village, B) Signs, ###C) Il sesto senso, D) Unbreakable;⭐⭐;16/01/2026
CIN90025;Cinema '90;Scrivi il nome dell'attore protagonista in "Il sesto senso".;Risposta aperta;###Bruce Willis;⭐⭐;16/01/2026
CIN90026;Cinema '90;Quale film del 1993 è diretto da Steven Spielberg e racconta la storia di un parco con dinosauri?;4 risposte;A) King Kong, B) The Lost World, ###C) Jurassic Park, D) Godzilla;⭐⭐;16/01/2026
CIN90027;Cinema '90;La pellicola "Jurassic Park" ha rivoluzionato l'uso degli effetti speciali in CGI.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CIN90028;Cinema '90;Quale film del 1994 è diretto da Frank Darabont e racconta la vita in una prigione?;4 risposte;A) The Green Mile, B) Il miglio verde, ###C) Le ali della libertà, D) The Shawshank Redemption;⭐⭐⭐;16/01/2026
CIN90029;Cinema '90;Scrivi il nome del protagonista in "Le ali della libertà" (The Shawshank Redemption).;Risposta aperta;###Andy Dufresne (interpretato da Tim Robbins);⭐⭐;16/01/2026
CIN90030;Cinema '90;La pellicola "Il paziente inglese" è ambientata durante quale guerra?;4 risposte;A) Seconda guerra mondiale, ###B) Seconda guerra mondiale, C) Prima guerra mondiale, D) Guerra di Corea;⭐⭐⭐;16/01/2026
CIN90031;Cinema '90;Quale film del 1998 è diretto da Steven Spielberg e racconta la storia di un archeologo?;4 risposte;A) Indiana Jones e il regno del teschio di cristallo, ###B) Salvarsi non applicabile, C) Salvarsi non applicabile, D) Salvarsi non applicabile;⭐⭐;16/01/2026
