ID;Tema;Domanda;Tipologia;Risposte;Difficoltà;Data creazione
CART00001;Cartoni '70-'80;Quale robot gigante è protagonista della serie nota in Italia come Goldrake?;4 risposte;###A) UFO Robot Grendizer, B) Mazinga Z, C) Daitarn 3, D) Getter Robo;⭐⭐⭐;16/01/2026
CART00002;Cartoni '70-'80;In quale decade è andata in onda in Italia la versione TV di "Heidi" diretta da Takahata e Miyazaki?;4 risposte;A) Anni '60, ###B) Anni '70, C) Anni '80, D) Anni '90;⭐⭐⭐;16/01/2026
CART00003;Cartoni '70-'80;"La Linea" è una serie animata creata da Osvaldo Cavandoli.;Vero/Falso;###Vero, Falso;⭐⭐⭐;16/01/2026
CART00004;Cartoni '70-'80;Chi è l'autore che ha creato Mazinga e Goldrake?;4 risposte;A) Osamu Tezuka, B) Leiji Matsumoto, ###C) Go Nagai, D) Hayao Miyazaki;⭐⭐⭐;16/01/2026
CART00005;Cartoni '70-'80;Scrivi il nome del protagonista di "Speed Racer" nella versione originale giapponese.;Risposta aperta;###Go Mifune;⭐⭐⭐;16/01/2026
CART00006;Cartoni '70-'80;Quale serie ha introdotto il personaggio He-Man alla TV?;4 risposte;###A) He-Man and the Masters of the Universe, B) Thundercats, C) G.I. Joe, D) Voltron;⭐⭐⭐;16/01/2026
CART00007;Cartoni '70-'80;La sigla italiana di "Goldrake" è stata un successo commerciale.;Vero/Falso;Vero, ###Falso;⭐⭐⭐;16/01/2026
CART00008;Cartoni '70-'80;Quale serie presenta i Puffi (The Smurfs)?;4 risposte;A) The Jetsons, ###B) The Smurfs, C) The Flintstones, D) The Wuzzles;⭐⭐⭐;16/01/2026
CART00009;Cartoni '70-'80;Chi ha creato "Lupin III"?;4 risposte;A) Hayao Miyazaki, ###B) Monkey Punch, C) Go Nagai, D) Osamu Tezuka;⭐⭐⭐;16/01/2026
CART00010;Cartoni '70-'80;Quale personaggio è protagonista della serie italiana creata da Bruno Bozzetto?;4 risposte;A) La Pimpa, ###B) Signor Rossi, C) Calimero, D) Barbapapa;⭐⭐⭐;16/01/2026
CART00011;Cartoni '70-'80;La serie "Muppet Babies" mostra i Muppet da bambini.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART00012;Cartoni '70-'80;Quale serie ha come protagonista il pirata spaziale Captain Harlock?;4 risposte;A) Galaxy Express 999, B) Space Battleship Yamato, ###C) Captain Harlock, D) Robotech;⭐⭐;16/01/2026
CART00013;Cartoni '70-'80;Scrivi il nome del protagonista di "Il piccolo Lord" nella versione anime trasmessa in Italia.;Risposta aperta;###Cedric Errol;⭐⭐;16/01/2026
CART00014;Cartoni '70-'80;Quale serie presenta un robot formato dall'unione di leoni?;4 risposte;A) Transformers, ###B) Voltron, C) Dairugger XV, D) Mazinga Z;⭐⭐;16/01/2026
CART00015;Cartoni '70-'80;La sigla italiana di "Heidi" è stata eseguita da Cristina D'Avena.;Vero/Falso;Vero, ###Falso;⭐⭐;16/01/2026
CART00016;Cartoni '70-'80;Quale serie racconta le avventure di Esteban alla ricerca delle città d'oro?;4 risposte;A) The Adventures of Tintin, ###B) The Mysterious Cities of Gold, C) The Rose of Versailles, D) The Little Prince;⭐⭐;16/01/2026
CART00017;Cartoni '70-'80;Chi ha composto colonne sonore iconiche per anime classici degli anni '70-'80?;4 risposte;A) Joe Hisaishi, ###B) Seiji Yokoyama, C) Yoko Kanno, D) Nobuo Uematsu;⭐⭐;16/01/2026
CART00018;Cartoni '70-'80;Scrivi il nome del protagonista di "Marco: From the Apennines to the Andes".;Risposta aperta;###Marco;⭐⭐;16/01/2026
CART00019;Cartoni '70-'80;Quale serie presenta Popeye, famoso per mangiare spinaci?;4 risposte;A) Tom and Jerry, B) The Jetsons, ###C) Popeye, D) The Flintstones;⭐⭐;16/01/2026
CART00020;Cartoni '70-'80;La serie "Candy Candy" è un anime shojo popolare in Italia negli anni '80.;Vero/Falso;###Vero, Falso;⭐⭐;16/01/2026
CART00021;Cartoni '70-'80;Quale studio ha prodotto la serie "Heidi" (1974) nota in Italia?;4 risposte;A) Toei Animation, B) Tatsunoko, ###C) Zuiyo Eizo / Nippon Animation, D) Sunrise;⭐⭐;16/01/2026
